,MONTH,ID,TEMP_C,LONGITUDE,LATITUDE,RCLASS,COORDS,START_TIME,END_TIME,Q99,DAILY_DIFF,DEPTH,REGION,SHOREDIST,SST,SST_MAX,WEEKLY_DIFF
188,9,OCC-PHR-009,27.53184443328731,-175.779344,27.802625,Deep Lagoon,POINT (-175.779344 27.802625),2010-09-15 00:30:00,2015-12-31 23:30:00,28.668112,0.7940981999159745,1.7,HAWAII,1017.5828247070312,27.649835205078148,28.948999023437523,2.7936058044433594
189,9,OCC-PHR-013,27.163428263639524,-175.883064,27.783312,Plateau,POINT (-175.883064 27.783312),2013-07-16 12:00:00,2019-07-31 23:30:00,28.4215,0.6772419810207261,5.2,HAWAII,2074.20068359375,27.495507812500023,28.829003906250023,2.992536783218384
190,9,OCC-PHR-014,27.26425145639905,-175.978716,27.774736,Outer Reef Flat,POINT (-175.978716 27.774736),2010-10-01 00:00:00,2019-08-31 23:30:00,28.890543,0.7762597058763951,1.3,HAWAII,3250.0498046875,27.472100830078148,29.198999023437523,3.2991533279418945
191,9,OCC-PHR-017,27.32960778576742,-175.991585,27.792347,Inner Reef Flat,POINT (-175.991585 27.792347),2013-09-12 12:00:00,2019-08-31 23:30:00,29.028438,0.6886080635600512,4.9,HAWAII,5338.10009765625,27.526940917968773,29.196984863281276,3.030365467071533
192,9,OCC-PHR-020,27.690251631944445,-175.831379,27.898,Inner Reef Flat,POINT (-175.831379 27.898),2010-10-01 00:00:00,2013-06-30 23:30:00,29.983775,0.951062250996016,1.2,HAWAII,2853.8466796875,27.525170898437523,29.1140075683594,2.2396340370178223
193,9,OCC-PHR-021,27.165022187500004,-175.894302,27.911827,Reef Crest,POINT (-175.894302 27.911827),2010-10-01 00:00:00,2013-06-30 23:30:00,29.2339,0.7660793824701196,2.9,HAWAII,4499.134765625,27.445397949218773,28.959985351562523,2.1306703090667725
194,9,OCC-PHR-024,26.853236909722224,-175.780467,27.78571,Reef Slope,POINT (-175.780467 27.78571),2010-10-01 00:00:00,2013-08-31 23:30:00,27.9327,1.0633358348968105,13.5,HAWAII,2810.723876953125,27.247583007812523,28.366998291015648,2.023980140686035
195,9,OCC-PHR-025,27.56565150767544,-175.815877,27.853937,Inner Reef Flat,POINT (-175.815877 27.853937),2010-09-15 00:00:00,2013-06-30 23:30:00,29.055383,0.5563106862745099,0.3,HAWAII,1897.6607666015625,27.606835937500023,28.790002441406276,2.2441530227661133
196,9,AG1,27.183099305555555,-156.02776,19.6685,Outer Reef Flat,POINT (-156.02776 19.6685),2011-11-10 10:00:00,2013-11-30 23:30:00,27.604,0.5767723552123551,3.35,HAWAII,0.0,26.79830322265628,27.527001953125023,1.03933584690094
197,10,AO1B,26.771415584415585,-156.02789,19.67154,Plateau,POINT (-156.02789 19.67154),2010-07-01 00:00:00,2011-06-30 23:30:00,27.702,0.9379898053753476,2.13,HAWAII,0.0,26.196801757812523,26.632989501953148,0.4559478759765625
198,10,FF3,26.5771814516129,-156.03793,19.69034,Outer Reef Flat,POINT (-156.03793 19.69034),2010-07-01 00:00:00,2012-08-31 23:30:00,27.235,0.7003267651888341,2.13,HAWAII,0.0,26.435418701171898,27.195001220703148,1.03773033618927
199,10,FF3B,26.617297915265635,-156.03789,19.69029,Outer Reef Flat,POINT (-156.03789 19.69029),2010-07-01 00:00:00,2012-04-30 23:30:00,27.382,0.5639019126107914,7.62,HAWAII,0.0,26.435418701171898,27.195001220703148,0.8793799877166748
200,9,KB1,27.23894166666667,-155.99757,19.63797,Outer Reef Flat,POINT (-155.99757 19.63797),2011-04-01 00:00:00,2013-11-30 23:30:00,27.751,0.4984798418972331,3.05,HAWAII,104.84489440917967,26.659356689453148,27.459008789062523,1.15963613986969
201,9,KB2,26.635122222222225,-155.99808,19.63759,Reef Slope,POINT (-155.99808 19.63759),2010-07-01 00:00:00,2011-06-30 23:30:00,27.136,0.4598513444082891,2.74,HAWAII,0.0,26.189538574218773,26.659997558593773,0.43400102853775024
202,9,KB3,26.626383333333333,-156.00023,19.63678,Reef Slope,POINT (-156.00023 19.63678),2010-07-01 00:00:00,2011-06-30 23:30:00,27.17625,0.4616256351698544,4.57,HAWAII,0.0,26.187097167968773,26.636987304687523,0.4339808523654938
203,9,KC3,26.588210185185183,-156.03415,19.68587,Reef Slope,POINT (-156.03415 19.68587),2010-07-01 00:00:00,2013-11-30 23:30:00,27.407,0.7386185519081501,2.13,HAWAII,0.0,26.582910156250023,27.4789978027344,1.3897705078125
204,9,KC3B,26.975088888888887,-156.03415,19.68587,Reef Slope,POINT (-156.03415 19.68587),2011-11-08 12:00:00,2013-11-30 23:30:00,27.47125,0.6273010156971374,3.96,HAWAII,0.0,26.808618164062523,27.4789978027344,1.027850866317749
205,10,KC4,26.66410663841808,-156.03452,19.68614,Reef Slope,POINT (-156.03452 19.68614),2010-07-01 00:00:00,2012-04-30 23:30:00,27.407,0.5493433723624068,2.74,HAWAII,0.0,26.434350585937523,27.178491210937523,0.9472251534461975
206,9,KO,26.642800347222224,-156.03419,19.68509,Reef Slope,POINT (-156.03419 19.68509),2010-07-01 00:00:00,2013-11-30 23:30:00,27.407,0.6459989837867799,3.96,HAWAII,0.0,26.582910156250023,27.4789978027344,1.3798174858093262
207,9,KS8,26.70942685185185,-156.03463,19.68563,Reef Slope,POINT (-156.03463 19.68563),2010-07-01 00:00:00,2013-11-30 23:30:00,27.358,0.5543169458194886,7.01,HAWAII,0.0,26.582910156250023,27.4789978027344,1.3677111864089966
208,9,KW1,26.893423958333333,-155.90628,19.88811,Reef Slope,POINT (-155.90628 19.88811),2010-07-01 00:00:00,2013-11-30 23:30:00,27.949,0.6990293286137862,1.83,HAWAII,104.68000030517578,26.596704101562523,27.565728759765648,1.4064990282058716
209,10,KW3,26.766897177419352,-155.90645,19.88807,Reef Slope,POINT (-155.90645 19.88807),2010-07-01 00:00:00,2011-06-30 23:30:00,27.579,0.8019810459008906,1.83,HAWAII,104.68000030517578,26.382653808593773,26.933496093750023,0.451709508895874
210,3,OCC-OFU-011,29.70767858527132,-169.65264,-14.177703,Shallow Lagoon,POINT (-169.65264 -14.177703),2012-05-01 00:00:00,2015-03-24 23:00:00,31.457338,1.1460330812854442,1.3,NOAA_PACIFIC,107.92887878417967,29.450494384765648,31.070001220703148,1.337917447090149
211,3,OCC-OFU-015,29.54455799731183,-169.680123,-14.172684,Inner Reef Flat,POINT (-169.680123 -14.172684),2012-05-01 00:00:00,2014-12-27 23:00:00,32.47732499999999,1.9651140061791963,0.6,NOAA_PACIFIC,215.86251831054688,29.5908142089844,30.472009277343773,1.2468141317367554
212,4,OCC-OFU-016,29.529586944444443,-169.680992,-14.173694,Reef Slope,POINT (-169.680992 -14.173694),2012-05-01 00:00:00,2015-01-21 23:00:00,30.418555,0.436076984924623,4.4,NOAA_PACIFIC,215.861557006836,29.5908142089844,30.868005371093773,1.3032045364379883
213,2,OCC-ROS-004,29.70372983630952,-168.147942,-14.539873,Outer Reef Flat,POINT (-168.147942 -14.539873),2012-05-01 00:00:00,2014-07-23 23:00:00,34.44949299999999,2.3881890663390664,0.63,NOAA_PACIFIC,392.5153198242188,29.6291442871094,30.390985107421898,1.2632923126220703
214,2,OCC-ROS-012,29.80160228174603,-168.164501,-14.548343,Inner Reef Flat,POINT (-168.164501 -14.548343),2012-05-01 00:00:00,2015-03-18 23:00:00,34.0612,2.637344961977186,0.9,NOAA_PACIFIC,1860.54736328125,29.623620605468773,30.735986328125023,1.3666805028915405
215,5,OCC-SWA-008,29.63868035935564,-171.090716,-11.058642,Sheltered Reef Slope,POINT (-171.090716 -11.058642),2012-04-02 00:00:00,2015-01-18 23:00:00,30.601493999999995,0.4720667988762188,5.6,NOAA_PACIFIC,155.9749298095703,29.736901855468773,30.683984375000023,1.2141591310501099
216,5,OCC-SWA-009,29.6744672,-171.090393,-11.057194,Inner Reef Flat,POINT (-171.090393 -11.057194),2012-04-01 00:00:00,2014-10-31 23:00:00,32.73791,2.44683364195756,0.6,NOAA_PACIFIC,109.25286865234376,29.736901855468773,30.683984375000023,1.137081265449524
217,4,OCC-TAU-002,29.57702465277778,-169.440948,-14.21177,Sheltered Reef Slope,POINT (-169.440948 -14.21177),2012-05-01 00:00:00,2015-02-28 23:00:00,30.188517,0.2416805609284333,14.9,NOAA_PACIFIC,310.077880859375,29.572442626953148,30.734979248046898,1.3236812353134155
218,4,OCC-TAU-006,29.60545545193688,-169.418703,-14.227247,Sheltered Reef Slope,POINT (-169.418703 -14.227247),2012-05-01 00:30:00,2014-08-19 23:00:00,30.453512,0.3214098841975816,5.6,NOAA_PACIFIC,107.90504455566406,29.57515869140628,30.316979980468773,1.2006384134292603
219,9,OCC-GUA-003,29.806560277777777,144.92338,13.602277,Terrestrial Reef Flat,POINT (144.92338 13.602277),2014-04-01 00:00:00,2015-08-31 23:30:00,30.4564,0.4641716216216215,5.6,NOAA_PACIFIC,111.31948852539062,29.73165283203128,30.734979248046898,0.9766147136688232
220,6,OCC-GUA-006,29.55056888888889,144.863562,13.475966,Reef Slope,POINT (144.863562 13.475966),2014-04-01 00:00:00,2015-09-30 23:30:00,30.800742,0.4352677007299271,5.8,NOAA_PACIFIC,108.25482940673828,29.500054931640648,30.709985351562523,1.046964168548584
221,9,OCC-GUA-011,29.78816472222222,144.700535,13.243431,Deep Lagoon,POINT (144.700535 13.243431),2014-04-01 00:00:00,2015-08-31 23:30:00,32.525808,1.793907335907336,1.07,NOAA_PACIFIC,351.09796142578125,29.762963867187523,30.523980712890648,0.9716532826423645
222,6,OCC-GUA-013,29.560126666666665,144.69916,13.475541,Sheltered Reef Slope,POINT (144.69916 13.475541),2014-04-04 04:30:00,2015-12-19 23:30:00,31.102125,0.6051456937081124,1.2,NOAA_PACIFIC,757.7838134765625,29.529718017578148,30.546990966796898,1.1627309322357178
223,9,OCC-GUA-014,29.27281569940476,144.80018,13.528926,Sheltered Reef Slope,POINT (144.80018 13.528926),2014-04-01 00:00:00,2015-09-26 23:30:00,30.26223,0.6614992647058824,25.0,NOAA_PACIFIC,324.6923522949219,29.529840087890648,30.6769958496094,0.9099366664886475
224,7,OCC-GUA-017,29.518539784946235,144.801308,13.528832,Sheltered Reef Slope,POINT (144.801308 13.528832),2014-04-01 00:00:00,2016-09-30 23:30:00,30.738833,0.5351373085339167,5.2,NOAA_PACIFIC,216.4615631103516,29.548394775390648,30.829980468750023,1.4120813608169556
225,6,OCC-PAG-004,30.11890701388889,145.767809,18.102936,Terrestrial Reef Flat,POINT (145.767809 18.102936),2014-05-01 00:00:00,2016-01-31 23:30:00,32.190782000000006,1.183114903403864,0.6,NOAA_PACIFIC,0.0,29.769403076171898,31.386987304687523,1.1827805042266846
226,8,OCC-WAK-016,29.667771370967746,166.604494,19.30866,Shallow Lagoon,POINT (166.604494 19.30866),2011-04-01 00:00:00,2014-03-18 23:00:00,31.632923,1.970155216989843,1.7,NOAA_PACIFIC,594.9376220703125,29.233666992187523,30.088983154296898,1.3251746892929077
227,8,OCC-WAK-017,29.69621563620072,166.622125,19.307356,Plateau,POINT (166.622125 19.307356),2011-04-01 00:00:00,2014-03-18 23:00:00,31.8391,0.8578711911357341,2.9,NOAA_PACIFIC,153.06625366210938,29.222772216796898,30.067987060546898,1.2833150625228882
228,12,TIM_OCEAN_008,29.96572379032258,125.499234,-8.554777,Reef Slope,POINT (125.499234 -8.554777),2012-11-01 00:00:00,2014-09-30 23:00:00,31.196832,1.1517047210300428,6.1,NOAA_PACIFIC,222.63897705078125,30.0131774902344,31.089990234375023,1.2391210794448853
229,12,TIM_OCEAN_015,29.500850336021504,127.312221,-8.41081,Reef Slope,POINT (127.312221 -8.41081),2012-11-01 00:00:00,2014-09-30 23:00:00,30.932494999999992,1.5190934191702432,14.9,NOAA_PACIFIC,313.170166015625,29.914819335937523,31.335992431640648,1.2384051084518433
230,12,TIM_OCEAN_025,30.063505913978496,125.61682,-8.224317,Reef Slope,POINT (125.61682 -8.224317),2012-11-01 00:00:00,2014-09-17 23:00:00,31.416616,0.6828564139941692,6.1,NOAA_PACIFIC,697.5343017578125,30.040063476562523,31.2289978027344,1.2698675394058228
231,5,103,30.582271841397848,134.37512,7.43066,Back Reef Slope,POINT (134.37512 7.43066),2017-11-11 09:00:00,2019-07-16 23:30:00,31.88,0.6239573401162791,,PALAU,7929.6875,30.2788024902344,31.633996582031276,1.4431182146072388
232,5,11,30.27162802419355,134.50316,7.2896,Inner Reef Flat,POINT (134.50316 7.2896),2017-11-11 09:00:00,2019-12-31 23:30:00,33.326,1.5449778249132275,,PALAU,1640.6307373046875,30.151666259765648,31.403985595703148,1.5153162479400635
233,5,115,31.19424462365592,134.37686,7.43626,Deep Lagoon,POINT (134.37686 7.43626),2017-11-11 09:00:00,2019-01-17 23:30:00,32.394,0.6184879060124393,,PALAU,8000.67431640625,30.726129150390648,31.592980957031276,0.9656141400337219
234,10,119,31.97128561827957,134.37691,7.4364,Deep Lagoon,POINT (134.37691 7.4364),2017-11-11 09:00:00,2019-12-31 23:30:00,34.903,0.6409484278227726,,PALAU,8000.67431640625,30.259881591796898,31.592980957031276,1.614656925201416
